Address,Baths,Beds,Price,Size,Suffix
"238/1 Kawlar Bazar, Dakhinkhan, Dhaka1229",3,3,"6,000,000","1,439 sqft", total price
Baridhara,4,4,"90,000,000","4,000 sqft", total price
Uttara,3,3,"11,000,000","1,531 sqft", total price
Uttara,4,3,"15,500,000","1,750 sqft", total price
Uttara,4,3,"12,500,000","1,570 sqft", total price
Banani,3,3,"28,000,000","2,300 sqft", total price
"42/F Indira Road, Forum Apartment",3,3,"7,000,000","1,708 sqft", total price
Gulshan,3,4,"56,000,000","4,000 sqft", total price
"Banasree, Avenue 8, H Block",3,3,"5,500,000","1,222 sqft", total price
"Banasree, G Block",4,4,"8,000,000","1,678 sqft", total price
J-Block,3,3,"7,500,000","1,250 sqft", total price
"Sector#10, Road#09, House# 09, Uttara ,Dhaka",2,3,"4,900","1,050 sqft", per sqft
Lalmatia BLOCK # B,3,3,"8,300","1,700 sqft", per sqft
"735/A, Block : A, Khilgaon, Dhaka- 1219.",4,4,"4,700","1,700 sqft", per sqft
"Bashundhara, Road#23, Block-F",4,3,"6,012","1,556 sqft", per sqft
"Hajj Camp, Ashkona, Uttara, Dhaka",2,3,"5,000,000","1,120 sqft", total price
"road-15,house-37,block-d,secation-12",3,3,"5,200,000","1,300 sqft", total price
"road-04,house-227,228,block-ta,secation-12",2,2,"2,800,000",750 sqft, total price
"road-2,house-24,block-b,secation-12",3,3,"7,000,000","1,350 sqft", total price
"road-07,house-119,block-b,secation-12",3,3,"8,000,000","1,350 sqft", total price
"road no-5,house no-20,kallyanpur,dhaka,1207",2,2,"2,500,000",700 sqft, total price
"Richmond Saheen's Dream, H-315, Road-10, D - Block, Basundhara R/A.",3,3,"7,000","1,560 sqft", per sqft
Bashundhara,5,4,"8,000","2,300 sqft", per sqft
Bashundhara,5,4,"8,000","2,300 sqft", per sqft
Bashundhara,3,3,"7,000","1,830 sqft", per sqft
Uttara,2,3,"7,500,000","1,120 sqft", total price
Uttara,2,3,"7,500,000","1,120 sqft", total price
Uttara,3,3,"6,500,000","1,000 sqft", total price
Uttara,3,3,"6,500,000","1,000 sqft", total price
"Arambag, Pallabi, Mirpur.",3,3,"5,700","1,310 sqft", per sqft
"বাড়ী নং: ৬৩/ আই /১, শেরেবাংলা রোড, কাটাসুর, মোহাম্মদপুর, ঢাকা",3,3,"5,600","1,110 sqft", per sqft
Uttara,4,2,"7,500,000","1,331 sqft", total price
Uttara,4,2,"7,500,000","1,331 sqft", total price
Banani,4,4,"25,000,000","2,800 sqft", total price
Banani,2,3,"29,500,000","2,305 sqft", total price
Banani,2,3,"29,500,000","2,305 sqft", total price
Basundhara R/A,3,3,"6,500","1,550 sqft", per sqft
"Plot: F-13-18, Block-F, Section-11, Mirpur, Dhaka",4,3,"6,000","2,087 sqft", per sqft
"road-15,house-37,block-d,secation-12",2,2,"2,700,000",650 sqft, total price
"road-H/6,plot-H/25,block-h,Eastran housing",2,2,"3,600,000",800 sqft, total price
Basundhara R/A,3,3,"5,850","1,550 sqft", per sqft
Basundhara R/A,3,3,"7,300","1,600 sqft", per sqft
"road-2,house-24,block-b,section-12",3,3,"7,000,000","1,350 sqft", total price
"PLOT-F-13-18, BOCK-F, SECTION-11,BUILDING NO-1,BLOCK-A",4,3,"6,000","1,839 sqft", per sqft
